Where do you live?	I live in Pasadena.
I love to go online.	The Internet is amazing.
You can travel all over the world.	I know. I went to China yesterday.
What did you do?	I stood on the Great Wall and looked all around.
What was it like?	It was like the real thing.
It was like being there?	Yes, I felt like I was actually there.
The Beatles are the best.	They are the best musical group ever.
I love all their songs.	I don't know which one I like the best.
I like the ones I can sing along with.	So do I, like "She Loves You."
"She loves you, Yeah, yeah, yeah!..."	"And you know you should be glad!"
What a great song.	How about "Let It Be?"
Oh, yes! "Let it be, let it be"	"There will be an answer, let it be!"
Let's go to a movie.	I'd rather not.
Why not?	You know I don't like crowds.
Let's go to an early movie.	Okay, that won't be very crowded.
What would you like to see?	Oh, I don't care. You're the one who wants to go out.
Well, I want to see "The Pursuit of Happyness."	What have you heard about it?
It's based on a true story about a divorced man and his young son.	Well, I hope it has a happy ending.
What's your favorite thing to do?	I like to watch people.
That's your favorite thing to do?	Well, it's one of them.
Where do you go to watch people?	My girlfriend and I sit outside Starbucks.
That sounds like a good spot.	We watch people walk by with their dogs.
I guess you see lots of different dogs.	We don't even know what kind most of them are.
There are lots of different kinds, but they all have one thing in common.	Yes, they love to sniff each other when they meet.
They call him Father Dollar Bill.	Yes, he was on the TV news today.
Every Easter Sunday he gives away money.	Is it his money?
No. Movie stars give him money to give to homeless people.	How much money does he give away?
This year he gave away $15,000.	That's a lot of money.
He gave $100 to people in wheelchairs.	What about the other homeless people?
They got $1 each.	People stood in line just to get one dollar?!
Old movies are the best.	Even though they're in black and white.
A good story is more important than color.	Actors didn't curse back then.
And there was no violence.	People today don't like that.
No, today people like lots of action.	I like a good story.
I like to see actors who are like real people.	Like real people with real problems.
They still make movies like that.	Yes, but they never make much money.
Do you get PBS on TV?	Yes, everybody gets the Public Broadcasting System.
It puts me to sleep.	Tell me about it.
A gardening show follows a knitting show.	A cooking show follows a sewing show.
A travel show follows another travel show.	I'll say! I've gone around the world a dozen times already!
Now they're adding old TV shows to the old movies.	I sure would like to see something interesting for a change.
If more people donate money, PBS could offer new shows.	Who wants to donate? Public TV should be free.
I love to watch "Judge Judy."	Is that a TV show?
Yes. It's on every afternoon.	What's so good about it?
They have interesting lawsuits.	Such as?
Yesterday, a woman complained about a cell phone she bought on eBay.	Was something wrong with the phone?
It works only in Canada.	Did the seller know that?
Yes, and he didn't tell the buyer.	I hope Judge Judy made the seller take the phone back.
That woman is a very good singer.	Yes, but she looks like a man.
What difference does it make?	Female singers are supposed to be pretty.
Singers are supposed to sound good.	They should look good, too.
There are lots of ugly men singers.	Men singers don't have to look good.
Then neither do women singers.	Well, I would never buy her CD.
But you would buy her CD if she was pretty?	Yes. I would buy all of her CDs.
All the TV stations are going to go digital.	Yes, that will occur next month.
Most of them are already broadcasting in digital.	The digital signal is very clear.
Oh, no, it isn't!	What do you mean?
I can't get a single channel.	Do you have a digital TV?
Of course. But I don't have cable.	You don't need to have cable, but you do need a good antenna.
But I have rabbit ears.	Rabbit ears aren't strong enough. Buy a digital antenna.
 
I've got a date for you.	Oh, really?
Are you interested?	Maybe. What is she like?
She's got a great personality.	Uh-oh. That means that she's fat and ugly.
She's cute.	Okay, so she's not ugly; she's just fat.
She weighs 98 pounds.	Okay, she's not fat. So what's the problem with her?
Who said there is a problem with her?	The problem is she has no problems she's too good for me!
I think you're very pretty.	Thank you.
Would you have dinner with me?	I would like to.
Can I pick you up Friday night?	What time?
Eight o'clock.	That sounds great.
We'll go to a French restaurant.	I've never been to a French restaurant.
I think you'll love the food.	I'm not going to eat any snails!
You have pretty eyes.	Thank you. So do you.
I wish my eyes were blue.	What's the matter with green eyes?
Nothing, except my favorite color is blue.	Maybe in your next life you'll have blue eyes.
But what if I'm a fish in my next life?	I think some fish have blue eyes.
I hope I don't come back as a fish.	I hope I come back as a cat.
Cats have beautiful eyes.	I would love to have blue cat-eyes.
I love you.	I love you, too.
I loved you the first day I saw you.	It was love at first sight?
Yes, it was love at first sight.	I didn't love you at first.
I know. I had to chase you for a while.	Yes, you chased me and then you caught me.
Now you're mine forever.	And you're mine forever.
We'll grow old together.	And be happy together.
I'm in love with that girl.	Have you told her?
Of course not.	Why not?
She would laugh at me.	How do you know?
Because they always do.	Maybe she's different.
They're all the same.	Just ask her out to dinner.
And then what?	And then she'll know that you like her.
Give me a hug.	I'm not in the mood.
What's the matter?	I saw you looking at that woman.
What woman?	You know, that woman with the big boobs.
I was not looking at her.	You were, too.
I'm not interested in her.	Then why were you looking at her?
I was looking at something else.	Oh, really? Then spend tonight looking at the sofa.
Would you like to go on a blind date?	You must be joking.
No, I'm serious.	I don't want to date a blind woman.
A blind date doesn't mean that she is blind!	What does it mean?
A blind date is a date with someone you don't know.	Why would I date someone I don't even know?
To try something new and exciting.	What if I don't like her?
What if I don't like her?	Then you don't date her again.
I have a date tomorrow night.	Really? Who with?
A girl I met at the market.	You met a girl at the supermarket?
She was standing behind me in a really slow line at the checkout counter.	What did you say to her?
I had two pineapples in my cart, and she asked where I had found them.	She asked you about your pineapples?
I told her I had gotten the last two on the shelf, but I offered her one of mine.	That was nice of you.
She asked me how she could return the favor, so I asked her out.	Sometimes a slow line can be a good thing.
Did you have a date Friday night?	Yes, in fact, I did.
Who did you go out with?	A man I met in a coffee shop.
Where did you go?	We went to a nice restaurant.
Anywhere else?	Then we went to a jazz club.
That sounds like a nice date.	Yes, it was pleasant.
But you won't date him again?	No. He was nice, but there was no chemistry.
I had the worst date the other night.	What happened?
First of all, he was half an hour late.	That's not a good start.
Then he didn't bother to apologize.	That's rude.
Then he drove too fast to the restaurant.	That's dangerous.
I thought about getting out and taking a taxi home.	What happened at the restaurant?
We had a $40 meal, and he left a $1 tip!	I guess you can't go back to that restaurant.
I don't like that man.	Why not?
He's a dirty old man.	What do you mean?
He's old enough to be my father, yet he asked me out.	Well, you can't blame a man for asking.
He should act his age.	But a lot of old people are still interested in dating.
They should find a nice hobby.	Just wait until you're 50 years old.
Dating will be the furthest thing from my mind.	That's what you say now. Wait till you're 50.
Does your girlfriend ever make you angry?	Sometimes.
What does she do?	Just yesterday, I told her I wouldn't trade her for all the money in the world.
That was a nice thing to say.	That's what I thought.
What did she say?	She laughed! She didn't believe me.
That wasn't very nice of her.	She said that nothing is more important to me than money.
What did you say?	I told her I wouldn't trade her for any other woman in the world.
Some people have good noses.	I wish I had a good nose. Mine is way too big.
I don't mean good-looking. I mean good-smelling.	Oh. But that can be a curse.
Yes, because you can be too sensitive to odors.	I'll say. My girlfriend has a nose like a drug dog.
Did she catch you using drugs?	Sort of. She knows whenever I sneak a cigarette.
You don't need a good nose for that cigarettes stink.	But when I sneak just one cigarette in the morning, she can smell it that evening!
Boy, that is a good nose.	I told her she should apply for a job at customs.
Let's go out to eat.	That sounds like fun.
Where do you want to go?	Let me think a minute.
I feel like Chinese.	That sounds delicious.
I know a good Chinese restaurant.	How far away is it?
It's only 10 minutes from here.	Do we need reservations?
Oh, no. We can walk right in.	Let's go now. I'm hungry!
I can't believe how long this line is.	This is a popular restaurant, isn't it?
Yes, but it isn't a fast-food restaurant, is it?	It's the slowest hamburger in town.
That's because they cook it while you wait.	Yes. That's why it's also the best hamburger in town.
A great burger and great service.	Yes, the workers are very polite.
And they're clean.	I've been coming here for years.
Me too.	Excuse me. They just called my number.
Lunch was delicious.	Thank you.
What kind of soup was that?	It was tomato soup.
That tasted so good.	I put lemon and butter in it.
The sandwich was good, too.	Everyone likes bacon and tomato sandwiches.
Especially on toast.	And the pickles were great, too.
Tomorrow we'll have rice and fish for lunch.	I can't wait.
I'm calling the waiter.	What's the matter?
This steak has too much fat.	What do you want the waiter to do?
Bring me a better steak.	I wouldn't do that.
Why not?	They will drop the new steak on the floor, step on it, and then spit on it.
You're crazy.	Then the waiter will give you a big smile as he brings you the new steak.
Where do you get these crazy ideas?	I used to cook in a restaurant!
Let's leave.	But we just got here.
Did you see the waiter's hands?	No.
He had dirty fingernails.	Really?
His nails were black!	That's disgusting.
And he poured water into our glasses.	Yuck! No water for me.
I wonder if the cooks' nails are dirty, too.	Who cares? Let's get out of here.
This hot bread is delicious.	I like this restaurant because they give you free bread.
Well, I think we are paying for it.	No. Look at the bill when we get it. There's no charge for the bread.
It is delicious, especially with butter.	I think we should just leave after we fill up on the bread.
They probably wouldn't like that.	I'm eating so much bread that I'm getting full.
Then stop eating the bread!	Okay, just one more piece. Pass the butter, please.
If I owned a restaurant, I would never serve hot bread before the main course.	That's terrible. I would never go to your restaurant.
Is this a clean restaurant?	Well, the tables and chairs look okay.
Okay, let's sit down.	Check out the silverware.
It passes inspection.	Here comes the waiter. See if his hands and nails are clean.
Well, the waiter looked clean, so I guess it's okay to eat here.	You're forgetting about the bathroom.
I'm going to just hope that the bathroom is clean.	You're not going to examine it before we order dinner?
No, I'd rather not find out that it's dirty, because I'm pretty hungry right now.	Me, too. Let's forget about germs and focus on food.
Have you seen our waiter?	Here he comes now.
We've been sitting here for almost 10 minutes.	Oops, I guess I was wrong. That isn't our waiter.
We can give him five more minutes, and then leave.	I'll go up front and talk to the manager.
That's a good idea.	Maybe they'll give us free drinks for waiting so long.
Maybe he'll send us our waiter immediately.	Every time we eat out, it's an adventure.
Last time, we got seats next to the kitchen.	We'll never go there again.
Is this table okay?	No, it's too close to the kitchen door. 
How about this table?	No, it's too close to the front door.
This looks like a nice table.	No, it's too close to the salad bar. 
Okay, I give up.	Well, there is one good table.
Great. Which one?	That one. A group of eight just sat down at it.
I don't believe the art world.	What is it this time?
An Andy Warhol drawing.	He's a famous artist.
He drew two butterflies and a flower on a napkin in a restaurant.	Did he sign it?
Yes.	Is it beautiful?
It's just black ink on a white napkin. And the napkin has food stains!	So it's not worth much?
Only about $30,000.	Without the food stains, it would probably be worth more.
Can we go to the baseball game?	Of course.
I love baseball.	So do I.
I love to eat the peanuts.	I love to eat the hot dogs.
I hope we'll see a home run.	I hope we'll catch a foul ball.
Bring a jacket.	Yes. It gets a little cool at night.
Bring a glove to catch a foul ball.	No. I'll just use my cap to catch a foul ball.
Golf is a silly game.	It certainly is.
You hit a white ball.	And then you chase it.
And then you hit it again.	Finally, you put the ball into a hole in the ground.
You do this 18 times, because there are 18 holes. 	What's the point?
How can it be fun?	They pay money to play this silly game!
I think golfers have a mental problem.	I think they're nuts.
Do you want to go fishing?	Yes. That's a good idea.
Where do you want to go?	We can go to the river.
Or we can go to the lake.	Or we can go to the ocean.
Let's go to the lake.	Yes. The lake is only 10 miles away.
We can be there in 20 minutes.	I'll get our fishing rods.
I'll get the bait.	We'll have fresh fish for dinner!
Baseball is fun.	I like to hit the ball.
I like to run around the bases.	I like to slide into the bases.
Yeah. It's a lot of fun to slide.	I want to be a baseball player when I grow up.
Me too. I want to play for the Yankees.	Not me. I want to play for the Dodgers.
We have to practice every day.	I don't like practice.
Me neither. It's boring.	But practice makes perfect.
Let's go jogging.	That's a good idea.
I bought some new shoes.	Are they comfortable?
They're very comfortable.	How much were they?
They were on sale for $80.	Do they help you run faster?
No, but my feet don't hurt anymore.	Then they're worth every penny.
You might want to buy a pair.	I'll wait until I wear this pair out.
Tiger is the greatest golfer in the world.	You can say that again.
But I'm worried about Tiger.	Why is that?
Because he likes to SCUBA dive.	What's wrong with that?
It can be dangerous.	You mean he could drown.
He shouldn't SCUBA dive until he retires.	But he dives to relax.
He might relax, but it makes me nervous.	If his wife doesn't mind, you shouldn't mind.
Did you watch that golf tournament?	The one that Tiger won?
How did he do it?	It was nothing for him.
He sank a 20-foot putt on the last hole to win by one stroke!	He sank a 25-footer last year at the same tournament to win by one stroke.
I think he is from outer space.	No human could possibly play golf that well.
Whenever he needs a shot to win a tournament, he makes that shot.	No human can do that.
Somebody should check his birth record.	I bet it says he was born on Mars.
Who's the greatest baseball player?	There are so many great players.
Yes, but who is the greatest?	I'd have to say Babe Ruth.
Most people would say that.	He changed the game.
Yes, he made the home run popular.	Everybody loved him, all over the nation.
He helped make the Yankees the best team ever.	And Ruth was a good person, too.
He always visited hospitals to cheer up sick kids.	There will never be another Babe.
Did you hear what happened at the baseball game?	No, please tell me.
Someone punched out someone.	That's not nice.
It's worse than that.	How so?
Two guys got into an argument.	I'll bet they were drinking.
A third guy punched one of the two guys.	I'll bet he was drinking, too.
The victim hit his head on the concrete steps and died.	That's terrible. Can't people just have fun at a baseball game?
I want to go to the ball game.	Is there a game tonight?
Yes, it starts at 7 p.m.	Can we get tickets?
Yes, but only the cheap tickets.	How much are they?
They're only $5 each.	That's a good price.
Yes, it's cheaper than a hot dog or a beer.	Where are the seats?
They're behind the outfield.	Maybe we can catch a home run ball.
Golf is so hard.	What's so hard about hitting a little white ball?
It's hard if you want to do it right.	You mean like Tiger?
No, like a good amateur golfer.	What's so hard about golf?
There are so many things you have to do right.	Like what?
Like keep your left arm straight, keep your head down, and follow through.	Yikes! Who can remember all that?
You need to get a lot of lessons when you're really young.	Forget it. Golf sounds more like work than fun.
Did you hear about the ball player?	The home run hitter on drugs?
He said a doctor helped him with a personal problem.	He said he wasn't using drugs.
He apologized to the fans.	The league suspended him for 50 games.
That will cost him some money.	Yes, about $7 million.
That will teach him a good lesson.	He probably won't use drugs anymore.
But it won't stop other players from using drugs.	No. Everyone always figures that they won't get caught.
Why is there so much crime?	Because parents don't teach their kids right from wrong.
Is that it?	Also, there aren't enough police.
But there are a lot of police.	There's only one police officer per 100 criminals.
Can't we hire more police?	No. It costs too much money.
Doesn't crime cost more than police?	Yes, it does.
So it would be cheaper to hire more police?	Yes, it would.
This is a great neighborhood.	Yes, it is.
People are friendly.	Yes, they are.
The streets and sidewalks are clean.	Yes, they are.
There's a real nice park nearby.	Yes, there is.
I feel safe here.	There is no crime here.
I wish I could move here.	Maybe you can, if someone moves out.
The house burned down.	What happened?
The man fell asleep.	Was he smoking?
Yes, he was smoking a cigarette.	Did he die?
Yes, he did. His cat died, too.	That's too bad. What about his smoke alarm?
The battery was dead.	A good battery would have saved his life.
He had cigarettes, but no battery.	It happens all the time.
They say he has started fifteen big fires.	He's been in jail three times already.
Why did they ever let him out?	It's the law. They can't keep him in jail forever.
Why not? Everyone knows he's a firebug. He loves to start fires.	I don't know. Sometimes the law doesn't make sense.
But his latest fire killed someone.	This time they have charged him with murder.
So maybe he'll go to jail forever?	I sure hope so.
Someone should set him on fire.	That would teach him a good lesson.
Put your seatbelt on.	Why?
Because it will protect you in case of an accident.	But it's uncomfortable.
It's the law.	It's so much trouble.
It's common sense.	It's so tight that it's hard for me to breathe.
Hold your breath till we get there.	Okay, my seatbelt is on.
I'm glad you don't complain very much.	I'm ready for an accident.
What are you doing?	I'm going to change the light bulb. It burnt out.
What are you standing on?	A couple of dictionaries and some textbooks.
Are you crazy?	What's the matter?
Those books will slip and you'll fall.	It's only a couple of feet.
What if you fall while you're holding the light bulb, and it breaks and pieces go into your eyes?	I never thought about that.
You'd be blind for the rest of your life!	I'll get the stepladder.
Did you see that puddle of water on the floor?	Yes. I called for a clean-up.
A puddle of water is very dangerous.	It isn't easy to see.
But it's real easy to slip on.	Especially on these slick floors.
Someone who slips could hurt their back.	They could even crack their head open.
We should stand here till the clean-up person gets here.	We can leave if we put an orange cone here.
Yes, but I don't know where the orange cones are.	 It doesn't matter. Here he comes now with the mop.
What happens when the fire alarm rings?	We tell our students to leave the classroom.
Can they take their belongings?	Yes, if they do it quickly.
Where do the students go?	They go out to the north parking lot.
What do the teachers do?	We take our rosters to the parking lot and take roll.
Why do you do that?	We want to make sure all the students are out of the building.
If they are all outside, then what?	Then we just wait outside for a fireman to tell us to go back in.
I have to go back upstairs.	Why? We're already late.
I have to check the stove.	What's the matter?
Maybe I left the burner on.	No, you didn't. I checked the stove before we left.
Are you sure?	Of course I'm sure.
Well, I have to go back upstairs anyway.	It's getting later every minute.
I think I left the water running.	No, you didn't. Let's go! The only thing running is the clock!
The city is buying guns.	What are they paying?
Up to $200 for each gun, no questions asked.	Why are they doing this?
They want to get guns off the street.	Who would turn in a gun for $200?
That isn't a good deal?	A good gun costs $400 or more.
Well, if you bring your receipt, maybe they'll give you $400.	I'll keep my receipt and my gun.
I didn't know you had a gun.	Everyone in America should have a gun.
You're yawning.	I sure am.
You should go to bed.	I will as soon as I finish this article.
What are you reading?	It's about crime in Los Angeles.
What does it say?	The mayor says the crime rate is going down.
Then why does everyone lock their doors?	I guess they haven't read this article.
No one believes that the crime rate is going down.	Maybe the mayor is just talking about his own neighborhood.
People who live in California are crazy.	Why is that?
Because of all the earthquakes and fires.	But big earthquakes happen only once in a while.
Once in a while is once too many.	But you're right. There are a lot of fires.
A recent fire destroyed 85 homes.	Still, it's safer than Florida.
Florida doesn't have earthquakes or fires.	No, Florida just has hurricanes every year from June to October.
But most of those hurricanes are harmless.	Excuse me. Hurricane Andrew destroyed 30,000 homes!
I went to Hawaii on vacation.	Did you like it?
I loved it. I want to live there.	What did you like?
The island is so green, and the water is so blue.	Did you go swimming?
I went to the beach every day.	How was the weather?
It was hot and sunny every day.	What did you do at night?
At night I went out to eat. The food was delicious.	People who live in Hawaii are lucky.
I like this hotel.	What do you like about it?
We get a free breakfast.	Coffee and a roll?
No, a real breakfast.	Bacon and eggs?
With toast, ham, sausage, fresh fruit, and juice.	Wow! That is nice. Let's stay for two nights.
And the rooms are clean, too.	Do they allow pets?
No pets, no smoking.	I like that. Let's stay three nights.
I'm not sleeping here tonight.	What's the matter? This is a nice room.
Maybe the room is nice, but not the bed.	What's wrong with the bed?
Look at this sheet.	Yes?
See those stains?	I sure do.
I'm not sleeping on that sheet.	Well, just call the front desk. They'll give us new sheets.
I want sheets without stains on them.	From now on, let's bring our own sheets.
What time does your plane leave?	It leaves at 12:15.
When do you have to be at the airport?	I have to be there two hours early.
So we have to be at the airport at 10:15.	That means we have to leave the house at 9:15.
Well, it's an hour to get there, if there are no traffic problems.	So maybe we better leave at 8:15?
Yes, it's better to get there too early than too late.	I agree.
You never know what might happen on these freeways.	There's at least one huge accident every day.
I need to fly to New York.	When are you going?
During the Christmas holidays.	You'd better buy your ticket now.
You must be kidding.	No, I'm not. It's March. Time is running out. Seats are selling out right now.
I thought I would wait until October.	I'll bet this is the first time you've ever flown during Christmas.
You're right.	Well, listen to me. You need to buy a ticket now.
But maybe prices will be cheaper in October.	Cheaper prices won't do you any good if there are no seats.
I hate flying.	So do I.
A long time ago, flying used to be okay.	Now it's like riding a bus.
You're jammed in with people all around you.	Half of them are coughing, and the other half are sneezing.
You don't have any elbow room or knee room.	People are always getting up to use the bathroom.
Kids are crying or climbing over you.	It's a flying zoo!
I wish I could afford first class seats.	Doesn't everybody?
Some guy rowed across the Atlantic Ocean.	Good for him.
Why would he do that?	Did he set a new record?
Yes, I think he did.	Well, I guess that's why he did it.
What's the point?	Now he has the world record!
But someone's going to break it, so what good is it?	Well, he can enjoy it while it lasts.
I don't think he even got paid for it.	Some people do it just to do it.
I want to go on a cruise ship.	That sounds like fun. Where do you want to go?
I want to cruise to Hawaii.	That should be a nice trip. Lots of fun, and lots of food.
I have no idea how much it will cost.	I think it depends on the season and on your cabin.
Well, of course I want to go when the weather is nice.	Yes, you don't want to travel in winter storms.
And I want to get a big cabin with a view.	Are you going to travel alone?
No, my sister and I will travel together.	Well, you should go online and try to find a good deal.
I hate to fly.	Because of all the security?
No, because it hurts my ears.	What do you mean?
Every time we land or take off, my ears hurt so much.	That's just the altitude change, I think.
Whatever it is, it hurts.	Can't you take medicine or something for it?
I've tried everything, but nothing works.	Have you tried earplugs?
They don't work, either.	Well, be glad you're not a pilot.
Spring break starts tomorrow.	Are you going to go anywhere?
I was thinking of driving to Arizona.	To the Grand Canyon?
Yes. I've never been there.	I was there when I was a kid.
How did you like it?	I loved it. I still remember how amazing it was.
I'm sure I'll like it, too.	You should try riding a mule on a trail to the bottom.
No way! I don't want to fall to my death.	Don't worry. Only one person has ever fallen off a mule.
That hotel was terrible.	The worst in the whole world.
The walls were so thin.	All day long we heard TVs or telephones.
All night long we heard people snoring.	Housekeeping didn't give us fresh towels.
Room service brought us a cold dinner.	Our nonsmoking room stunk of cigarette smoke.
Our room was right next to the elevator and the ice machine.	They added phony charges to our bill.
How did we end up in that terrible hotel?	The travel agent gave us a 50-percent discount!
I have to hang up. I'm so sleepy.	It's not even 10 o'clock.
I'm falling asleep on the phone.	You got up real early.
I had to take my friend to the airport.	Why didn't you take a nap when you got home?
I didn't get home until 30 minutes ago.	Why is that?
There was a bomb threat at the airport.	Only a threat?
Yes, but I was stuck there all day while they looked for the bomb.	Someday the bomb is going to be for real.
My dad went to Washington, D.C.	Why did he do that?
He was invited, along with about 90 other veterans.	Who invited them?
Some private organization.	Why did they invite him?
To thank him and all the other soldiers who served in World War II.	That's very nice.
My dad got to see the beautiful new World War II Monument.	That trip must have cost a lot of money. 
That trip must have cost a lot of money.	He said all the money came from private donations.
That was a great trip to Washington, D.C.	Tell me about it, Dad.
About 90 of us World War II veterans got on the plane at 8 a.m.	How long was the flight?
It only took about two hours.	Did you take pictures at the World War II Monument?
Oh, yes. We all took lots of pictures.	Then you flew back home that evening?
Yes. When we landed, TV reporters and the Army band were there.	That must have made you feel really special.
Oh, it did. There were about 300 people there to honor us.	Well, you all deserve it. You helped save our country.
I love salads.	Me too.
I usually eat a simple salad.	What do you put in it?
Just lettuce, tomato, and celery.	That's it?
I add some pepper and salt.	I always put cheese in my salads.
Yes, cheese is nice.	What kind of dressing do you use?
I pour lots of French dressing on top.	Me too. French dressing is so delicious! Who cares about calories?
I love cheese.	Me too.
Where does cheese come from?	It comes from cows.
So we get cheese from cows, and we get milk, too?	Yes, we do.
What else do we get from cows?	We get hamburgers and steak.
Oh, that's so delicious.	We also get leather.
We get a lot of things from cows, don't we?	Yes. A cow is man's best friend.
I used to work in a deli.	How did you like it?
I loved it!	Did you get free food?
I ate free cheese and meat every day.	That sounds like a great job.
Whatever a customer ordered, I sliced off a little more for me.	Did you get fat?
No, but I did put on a few pounds.	That sounds like a dream job.
It was, until one day my manager caught me.	No more free cheese for you, huh?
I'm on a new diet.	What are you eating now?
I switched from pasta to potatoes.	Why did you do that?
Pasta is processed food. Potatoes are natural food.	Natural food has more vitamins.
And it's just as easy to prepare.	How do you prepare the potatoes?
I wash them, and then steam them for 15 minutes.	That's pretty simple.
Then I add butter, salt, and pepper.	Can I have all those cans of tomato sauce you bought for your pasta?
My girlfriend's mom got mad at me at the dinner table.	Why was that?
I sprinkled salt and pepper on the food before I tasted it.	What's the matter with that?
Her mom is a great cook.	So, a little salt and pepper never hurt anything.
It hurt her feelings.	Oh.
I apologized to her, but I could tell she was still upset.	Maybe you shouldn't eat there again.
I'm sure everything will be okay in a day or two.	It's your girlfriend's fault. She should have warned you.
I eat the same thing every day.	You're kidding.
No, I'm serious.	Doesn't that get old?
No, because I'm eating food that I like.	But the same thing day after day gets old.
Well, I guess if it ever does get old, I'll change to something different.	Do you eat fruits and vegetables every day?
No, I hate vegetables.	But you eat fruits.
I eat two apples, one banana, and one orange every day.	Well, there's nothing wrong with that.
There's something wrong with my orange.	What's wrong?
It's not orange!	Your orange isn't orange?
No, it's dark pink!	Are you sure? I never heard of such a thing.
I just peeled it, and I'm looking at it right now.	Let me see. Yes, you're right. Your orange is pink.
Who ever heard of such a thing?	Oh, look. Here's the little sticker that was on it. It's called a Pink Navel.
What is this world coming to?	Who knows? Maybe soon we'll have pink bananas.
I love peanuts.	Me, too. I love them roasted and salted.
I love boiled peanuts.	Boiled? I never heard of that.
Just boil raw peanuts in salt water until the shells are soft.	I'll have to try them sometime.
They're best when they're hot.	My brother is allergic to peanuts.
That's not good.	No, it isn't. He almost died when he was little.
I guess he has to be very careful about what he eats.	He has a very strict diet.
I'm gaining weight.	How much have you gained?
Three pounds just this month.	Do you know why?
I think it's the ice cream.	You started eating ice cream?
It was on sale.	How much did you buy?
I filled up my freezer with ice cream.	Well, it won't last forever.
No, I figure I'll finish it all by next week.	Then you can start losing weight, if there isn't another sale.
I'm stuffed.	Of course you are. You ate everything on the table.
I don't like to eat leftovers.	I'm glad to hear there's something you don't like to eat.
I like my food hot and fresh.	You like to see it disappear.
I don't like it reheated.	Well, you'll have hot fresh food tomorrow night.
I'm so full I'm going to burst.	You should loosen your belt.
I already loosened my belt and unbuttoned my pants.	Well, don't stand up, please.
I saw what you did.	I didn't do anything.
Oh yes, you did.	What are you talking about?
You know what I'm talking about.	I don't have any idea.
You know what you did.	Maybe I know, but how could you know?
Because I was watching you.	Okay, I'm sorry I did it.
Don't drink milk out of the carton. Use a glass!	I promise I'll never drink out of the carton again.
I need a job.	I thought you had a job.
I did.	What happened?
I got laid off.	That's terrible! When did it happen?
I got laid off last week.	Just you?
No, ten of my coworkers got laid off, too.	What are you going to do?
I'm looking in the newspaper for a job.	Good luck!
Before you go to that interview, check yourself.	What's to check?
Are your nails clean?	Yes, they are.
Did you double-check your nose and teeth?	They are clean, too.
Did you shine your shoes?	My shoes are shined.
Do your socks match?	Of course they match.
No, they don't. One is black and one is dark blue.	Yikes! Thank you.
Life is hard.	It sure is.
I thought school was hard.	Me, too. I couldn't wait to graduate.
But now work is hard, too.	I agree. Work is just as hard as school.
Sometimes I wish I was back in school.	Me, too. School was fun.
And it was only 12 years.	It went by pretty fast.
But work goes on forever!	We have to work for 30 years!
I'm sleepy.	So am I.
I had a long day.	So did I.
I didn't even have lunch.	Neither did I.
I was busy the whole day.	So was I.
I had to bring work home with me.	I did too.
Your day was just like mine.	Of course it was. We work together!
I don't like my job.	What do you do?
I'm a babysitter.	Is that a lot of work?
Babies cry all the time.	You have to change their diapers.
I have to feed them.	Are you looking for another job?
No, I'm looking for another family.	Another family?
A family with only one baby.	That's a good idea.
I need a job.	What was your last job?
I was a painter.	What happened?
I got laid off because there was no work.	What else can you do?
I'm a handyman.	Can you fix a dripping faucet in a kitchen sink?
Of course.	Then I have a job for you in my kitchen.
It will cost you only $20 plus parts.	Okay. That sounds like a fair price.
What would you do if you lost your job?	I have no idea. I've been here for 20 years.
Do you have any other skills?	Well, I know how to flip hamburgers.
No one would hire you to flip hamburgers.	Have you heard something that you're not telling me?
What do you mean?	Are there going to be layoffs at this place?
I certainly hope not!	If you got laid off, you'd be flipping hamburgers, too.
Oh great, we could both work at Burger King.	Maybe we'd get laid off there, too.
Do your students ever talk about their jobs?	Yes, and they ask me what jobs are the best.
I tell my students to become a teacher.	Teaching is a great job.
It's the best job I've ever had.	What makes it so good?
For me, it's the students.	What do you mean?
I mean I have wonderful students.	That must be nice.
Teaching is the best part of my whole day.	You're a lucky man to have a job you love.
Boy, I'm glad that job is finished.	How long did it take?
Four hours, without a break.	It's always nice to finish a job.
Well, it's good and bad.	What's bad about it?
When you finish, all you do is start another job!	Yes, that's right. It does get boring.
Especially if it's the same work, over and over.	But that's what most people do.
Yes, I guess most of us are stuck in a routine.	I wonder if there is any job that you don't repeat over and over.
I think I have the worst boss in the world.	What makes him so bad?
He's rude and he yells a lot.	That's hard to take.
I've never heard him say please or thank you.	He sounds like a real jerk.
No one at work likes him.	Can't you report him to his supervisor?
Of course not. If I do that, I'll lose my job.	Yes, they don't like troublemakers or complainers.
I can't quit, because I'm making a good salary.	You shouldn't choose money over happiness.
What are we going to do?	About what?
About finding a job for me.	You don't need a job. I make enough money for both of us.
That doesn't matter. I don't want to sit around.	Okay, what kind of job do you want?
I'm not sure.	Well, you should do something that you enjoy.
I enjoy selling. I was born to sell.	Okay, what do you want to sell?
Cigarette lighters. I'll make a fortune.	But you hate cigarettes and you hate smoking!
A new hotel is looking for workers.	Yes, I saw it on the TV news.
They need 300 new workers.	And 4,000 people showed up.
So many people are out of work.	I still have my job, thank goodness.
So do I, but I'm worried.	Me too. There are no guarantees.
If you lose your job, you can move in with me.	Oh, thank you. That's very nice of you.
You would do the same for me.	Of course. What are friends for? 
I think I did something real stupid.	What did you do?
I bought some stock.	Everybody buys stock.
